,Items,Antecendete,Consequente,Suporte,Confian√ßa,Lift
48,"{'768', 'chrome', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'768', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
49,"{'America/Sao_Paulo', '8', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'America/Sao_Paulo', '8', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
50,"{'Linux', '8', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', '8', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
51,"{'8', 'chrome', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'8', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
52,"{'amd radeon vega 8 mobile', 'America/Sao_Paulo', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'amd radeon vega 8 mobile', 'America/Sao_Paulo', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
53,"{'America/Sao_Paulo', 'chrome', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'America/Sao_Paulo', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
54,"{'Linux', 'amd radeon vega 8 mobile', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', 'amd radeon vega 8 mobile', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
55,"{'Linux', 'chrome', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
31,"{'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10'}","{'America/Sao_Paulo', 'Windows 10'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
29,"{'Linux', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
57,"{'8', '187.34.105.191', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'8', '187.34.105.191', '768'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
13,"{'187.34.105.191', '8', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'187.34.105.191', '8'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
3,"{'8', '6149ed31bcc27ca1262dd28a3f3f4ba1'}",{'8'},{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
4,"{'771d19f2dd35546be40d4e07bbad1c53', 'Windows 10'}",{'Windows 10'},{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
5,"{'1080', '771d19f2dd35546be40d4e07bbad1c53', '1920'}","{'1080', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
7,"{'1080', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53'}","{'1080', 'America/Sao_Paulo'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
8,"{'1080', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10'}","{'1080', 'Windows 10'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
9,"{'1080', '771d19f2dd35546be40d4e07bbad1c53', 'chrome'}","{'1080', 'chrome'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
10,"{'8', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'8', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
11,"{'amd radeon vega 8 mobile', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'amd radeon vega 8 mobile', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
12,"{'chrome', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
14,"{'187.34.105.191', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'187.34.105.191', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
28,"{'8', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'8', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
15,"{'187.34.105.191', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'187.34.105.191', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
17,"{'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', '1920'}","{'America/Sao_Paulo', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
18,"{'771d19f2dd35546be40d4e07bbad1c53', 'Windows 10', '1920'}","{'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
19,"{'771d19f2dd35546be40d4e07bbad1c53', 'chrome', '1920'}","{'chrome', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
23,"{'8', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'8', '768'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
24,"{'768', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'768', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
25,"{'768', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'768', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
26,"{'America/Sao_Paulo', '8', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'America/Sao_Paulo', '8'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
27,"{'Linux', '8', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', '8'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
56,"{'amd radeon vega 8 mobile', 'chrome', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'amd radeon vega 8 mobile', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
58,"{'187.34.105.191', '768', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'187.34.105.191', '768', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
116,"{'768', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'amd radeon vega 8 mobile'}","{'America/Sao_Paulo', '768', '1366', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
105,"{'187.34.105.191', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', '8', '1366'}","{'America/Sao_Paulo', '187.34.105.191', '8', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
90,"{'Linux', 'chrome', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', 'chrome', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
91,"{'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'chrome', 'Windows 10'}","{'America/Sao_Paulo', 'chrome', 'Windows 10'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
95,"{'1080', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10', '1920'}","{'1080', 'America/Sao_Paulo', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
96,"{'1080', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'chrome', '1920'}","{'1080', 'America/Sao_Paulo', 'chrome', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
97,"{'1080', 'Windows 10', '771d19f2dd35546be40d4e07bbad1c53', 'chrome', '1920'}","{'1080', 'chrome', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
101,"{'1080', 'Windows 10', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'chrome'}","{'1080', 'America/Sao_Paulo', 'chrome', 'Windows 10'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
102,"{'187.34.105.191', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', '8', '1366'}","{'8', '187.34.105.191', '768', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
103,"{'187.34.105.191', '768', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'amd radeon vega 8 mobile'}","{'187.34.105.191', '768', '1366', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
104,"{'187.34.105.191', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'chrome', '1366'}","{'187.34.105.191', '768', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
106,"{'Linux', '187.34.105.191', '6149ed31bcc27ca1262dd28a3f3f4ba1', '8', '1366'}","{'Linux', '187.34.105.191', '8', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
88,"{'Linux', 'America/Sao_Paulo', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', 'America/Sao_Paulo', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
1,"{'771d19f2dd35546be40d4e07bbad1c53', '1920'}",{'1920'},{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
108,"{'187.34.105.191', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'amd radeon vega 8 mobile'}","{'187.34.105.191', 'America/Sao_Paulo', '1366', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
109,"{'187.34.105.191', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'chrome', '1366'}","{'187.34.105.191', 'America/Sao_Paulo', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
110,"{'Linux', '187.34.105.191', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'amd radeon vega 8 mobile'}","{'Linux', '187.34.105.191', 'amd radeon vega 8 mobile', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
111,"{'Linux', '187.34.105.191', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'chrome', '1366'}","{'Linux', '187.34.105.191', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
112,"{'187.34.105.191', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'chrome', 'amd radeon vega 8 mobile'}","{'187.34.105.191', 'amd radeon vega 8 mobile', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
113,"{'768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', '8', '1366'}","{'8', 'America/Sao_Paulo', '768', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
114,"{'Linux', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', '8', '1366'}","{'8', 'Linux', '768', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
115,"{'768', '6149ed31bcc27ca1262dd28a3f3f4ba1', '8', 'chrome', '1366'}","{'8', '768', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
89,"{'Linux', 'America/Sao_Paulo', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', 'America/Sao_Paulo', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
87,"{'Linux', '8', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', '8', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
59,"{'187.34.105.191', '768', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'187.34.105.191', '768', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
72,"{'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'chrome', '1920'}","{'America/Sao_Paulo', 'chrome', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
60,"{'America/Sao_Paulo', '187.34.105.191', '8', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'America/Sao_Paulo', '187.34.105.191', '8'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
61,"{'Linux', '187.34.105.191', '8', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', '187.34.105.191', '8'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
62,"{'187.34.105.191', '8', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'187.34.105.191', '8', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
63,"{'187.34.105.191', 'America/Sao_Paulo', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'187.34.105.191', 'America/Sao_Paulo', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
64,"{'187.34.105.191', 'America/Sao_Paulo', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'187.34.105.191', 'America/Sao_Paulo', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
65,"{'Linux', '187.34.105.191', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', '187.34.105.191', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
66,"{'Linux', '187.34.105.191', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', '187.34.105.191', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
67,"{'187.34.105.191', 'chrome', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'187.34.105.191', 'chrome', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
71,"{'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10', '1920'}","{'America/Sao_Paulo', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
73,"{'771d19f2dd35546be40d4e07bbad1c53', 'chrome', 'Windows 10', '1920'}","{'chrome', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
86,"{'America/Sao_Paulo', '8', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'America/Sao_Paulo', '8', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
77,"{'8', 'America/Sao_Paulo', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'8', 'America/Sao_Paulo', '768'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
78,"{'8', '768', 'Linux', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'8', '768', 'Linux'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
79,"{'8', '768', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'8', '768', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
80,"{'America/Sao_Paulo', '768', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'America/Sao_Paulo', '768', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
81,"{'America/Sao_Paulo', '768', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'America/Sao_Paulo', '768', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
82,"{'Linux', '768', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', '768', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
83,"{'Linux', '768', 'chrome', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', '768', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
84,"{'768', 'chrome', 'amd radeon vega 8 mobile', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'768', 'chrome', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
85,"{'Linux', 'America/Sao_Paulo', '8', '6149ed31bcc27ca1262dd28a3f3f4ba1'}","{'Linux', 'America/Sao_Paulo', '8'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
213,"{'Linux', '187.34.105.191', 'chrome', 'amd radeon vega 8 mobile', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', '1366'}","{'Linux', '187.34.105.191', '768', '1366', 'America/Sao_Paulo', 'chrome', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
